Gene	Eif3b_1	Eif3b_2	IgG_1	IgG_2	Symbol	Chr	GeneType	Description
ENSG00000259705.1	4.15	1.76	71.34	10.29	RP11-227D13.1	chr15	lincRNA		--
ENSG00000177706.8	2.2	1.37	0.0	0.0	FAM20C	chr7	protein_coding	family with sequence similarity 20, member C
ENSG00000211792.2	0.0	1.61	0.0	0.0	TRAV14DV4	chr14	TR_V_gene	T cell receptor alpha variable 14/delta variable 4
ENSG00000228262.8	0.53	0.81	0.0	0.0	LINC01320	chr2	lincRNA	long intergenic non-protein coding RNA 1320
ENSG00000179057.13	0.0	0.32	0.0	1.87	IGSF22	chr11	protein_coding	immunoglobulin superfamily, member 22
ENSG00000153989.7	6.61	4.09	3.49	9.41	NUS1	chr6	protein_coding	nuclear undecaprenyl pyrophosphate synthase 1 homolog (S. cerevisiae)
ENSG00000281938.1	1.93	0.33	0.0	2.56	ACSL6	chr5	protein_coding	acyl-CoA synthetase long-chain family member 6
ENSG00000242247.10	3.29	3.59	8.56	0.0	ARFGAP3	chr22	protein_coding	ADP-ribosylation factor GTPase activating protein 3
ENSG00000214029.4	1.35	1.79	4.75	3.62	ZNF891	chr12	protein_coding	zinc finger protein 891
ENSG00000226973.1	0.0	0.86	0.0	0.0	RP4-663N10.2	chr1	unprocessed_pseudogene		--
ENSG00000230471.1	8.54	6.52	0.0	4.62	LA16c-2F2.8	chr22	lincRNA		--
ENSG00000182774.10	17.66	11.87	214.37	29.77	RPS17	chr15	protein_coding	ribosomal protein S17
ENSG00000007312.12	0.0	0.54	0.0	0.0	CD79B	chr17	protein_coding	CD79b molecule, immunoglobulin-associated beta
ENSG00000149547.14	7.35	7.34	23.14	6.49	EI24	chr11	protein_coding	etoposide induced 2.4
ENSG00000141086.17	2.34	2.78	0.0	4.65	CTRL	chr16	protein_coding	chymotrypsin-like
ENSG00000229639.1	0.0	0.0	0.0	17.47	RP3-380B4.1	chr1	lincRNA		--
ENSG00000267121.5	1.78	1.31	0.0	1.18	CTD-2020K17.1	chr17	antisense		--
ENSG00000249275.1	1.65	0.42	0.0	0.0	RP11-364P22.2	chr4	lincRNA		--
ENSG00000214711.9	0.0	0.16	0.0	0.0	CAPN14	chr2	protein_coding	calpain 14
ENSG00000013297.10	1.48	0.25	6.0	2.94	CLDN11	chr3	protein_coding	claudin 11
ENSG00000253775.1	0.0	0.33	0.0	0.0	AC100802.3	chr8	antisense		--
ENSG00000199015.3	0.0	9.41	0.0	73.4	MIR377	chr14	miRNA	microRNA 377
ENSG00000239572.1	0.0	0.45	0.0	0.0	RP11-451B8.1	chr3	lincRNA		--
ENSG00000230437.1	2.84	0.0	0.0	0.0	RP11-102J14.1	chr20	lincRNA		--
ENSG00000164587.11	13.99	17.42	62.55	28.5	RPS14	chr5	protein_coding	ribosomal protein S14
ENSG00000111696.11	1.86	3.46	2.26	5.0	NT5DC3	chr12	protein_coding	5'-nucleotidase domain containing 3
ENSG00000122223.12	0.54	1.66	0.0	1.61	CD244	chr1	protein_coding	CD244 molecule, natural killer cell receptor 2B4
ENSG00000147955.16	51.67	54.85	44.8	50.56	SIGMAR1	chr9	protein_coding	sigma non-opioid intracellular receptor 1
ENSG00000233183.2	1.66	1.66	1.61	0.0	RP3-468B3.2	chr6	lincRNA		--
ENSG00000205664.10	2.54	2.07	0.0	4.54	RP11-706O15.1	chrX	lincRNA		--
ENSG00000270791.1	2.37	0.0	0.0	0.0	DPRXP6	chrX	processed_pseudogene	divergent-paired related homeobox pseudogene 6
ENSG00000145723.16	0.83	1.06	0.0	0.0	GIN1	chr5	protein_coding	gypsy retrotransposon integrase 1
ENSG00000279712.1	0.07	0.32	0.0	2.1	CTA-280A3.2	chr22	lincRNA		--
ENSG00000139746.15	10.51	11.03	23.35	11.45	RBM26	chr13	protein_coding	RNA binding motif protein 26
ENSG00000133401.15	0.8	0.91	1.39	1.03	PDZD2	chr5	protein_coding	PDZ domain containing 2
ENSG00000280670.2	1.76	1.57	0.0	0.0	CCDC163P	chr1	protein_coding	coiled-coil domain containing 163, pseudogene
ENSG00000254971.1	0.0	0.7	0.0	0.0	RP11-313I2.11	chr11	lincRNA		--
ENSG00000282458.1	13.76	18.73	0.0	3.81	WASH5P	chr19	transcribed_processed_pseudogene	WAS protein family homolog 5 pseudogene
ENSG00000148843.13	10.1	11.71	7.58	6.82	PDCD11	chr10	protein_coding	programmed cell death 11
ENSG00000205683.11	0.81	1.16	0.0	0.0	DPF3	chr14	protein_coding	D4, zinc and double PHD fingers, family 3
ENSG00000218739.9	3.47	2.39	10.54	3.1	CEBPZOS	chr2	protein_coding	CEBPZ opposite strand
ENSG00000245322.6	0.0	0.4	0.0	0.0	RP11-15B17.1	chr4	antisense		--
ENSG00000206142.9	0.0	0.0	3.53	0.0	KB-1183D5.13	chr22	lincRNA		--
ENSG00000258790.1	0.35	0.8	25.37	7.26	RP11-561B11.2	chr14	protein_coding		--
ENSG00000229611.1	0.0	0.0	0.0	9.48	RP11-390F4.10	chr9	lincRNA		--
ENSG00000135374.9	1.05	0.61	0.0	0.0	ELF5	chr11	protein_coding	E74-like factor 5 (ets domain transcription factor)
ENSG00000260928.2	0.0	1.01	0.0	0.0	SPCS2P1	chr15	processed_pseudogene	signal peptidase complex subunit 2 homolog (S. cerevisiae) pseudogene 1
ENSG00000268108.1	1.29	1.97	0.0	0.0	CTB-60B18.12	chr19	antisense		--
ENSG00000244791.2	1.89	0.48	0.0	0.0	RP11-65D17.1	chr8	lincRNA		--
ENSG00000223568.1	0.0	0.6	0.0	0.0	RPL3P11	chr9	processed_pseudogene	ribosomal protein L3 pseudogene 11
ENSG00000237054.9	3.87	3.61	2.61	2.56	PRMT5-AS1	chr14	antisense	PRMT5 antisense RNA 1
ENSG00000239661.1	0.0	0.69	0.0	0.0	RP11-78O22.1	chr3	lincRNA		--
ENSG00000272942.1	3.6	5.03	0.0	0.0	CTA-246H3.12	chr22	lincRNA		--
ENSG00000108439.9	3.36	4.42	6.8	8.34	PNPO	chr17	protein_coding	pyridoxamine 5'-phosphate oxidase
ENSG00000163207.6	0.0	1.43	0.0	0.0	IVL	chr1	protein_coding	involucrin
ENSG00000263519.1	12.67	0.0	0.0	0.0	AL157871.1	chr14	miRNA		--
ENSG00000171564.11	0.68	0.52	0.0	0.0	FGB	chr4	protein_coding	fibrinogen beta chain
ENSG00000166530.8	0.0	2.99	0.0	0.0	HSBP1P2	chr4	processed_pseudogene	heat shock factor binding protein 1 pseudogene 2
ENSG00000106688.11	3.25	4.23	0.0	4.3	SLC1A1	chr9	protein_coding	solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1
ENSG00000141298.17	0.2	0.3	0.0	0.0	SSH2	chr17	protein_coding	slingshot protein phosphatase 2
ENSG00000279821.1	1.55	2.03	0.0	1.32	RP11-1334A24.5	chr5	TEC		--
ENSG00000114473.13	4.16	1.85	0.0	0.0	IQCG	chr3	protein_coding	IQ motif containing G
ENSG00000253392.2	1.73	0.0	0.0	0.0	AC006277.2	chr19	antisense		--
ENSG00000185905.3	0.52	0.93	0.0	0.0	C16orf54	chr16	protein_coding	chromosome 16 open reading frame 54
ENSG00000276188.1	0.0	0.83	0.0	0.0	RP11-173P15.10	chr12	lincRNA		--
ENSG00000144524.17	3.73	5.69	11.31	1.39	COPS7B	chr2	protein_coding	COP9 signalosome subunit 7B
ENSG00000104979.8	14.79	16.13	42.74	16.77	C19orf53	chr19	protein_coding	chromosome 19 open reading frame 53
ENSG00000148384.11	15.44	9.87	0.0	7.07	INPP5E	chr9	protein_coding	inositol polyphosphate-5-phosphatase, 72 kDa
ENSG00000202521.1	0.0	5.75	0.0	0.0	RNA5S7	chr1	rRNA	RNA, 5S ribosomal 7
ENSG00000135723.13	22.39	15.51	4.09	7.02	FHOD1	chr16	protein_coding	formin homology 2 domain containing 1
ENSG00000165863.16	2.46	2.19	0.0	0.0	C10orf82	chr10	protein_coding	chromosome 10 open reading frame 82
ENSG00000143554.13	2.41	2.55	0.0	8.36	SLC27A3	chr1	protein_coding	solute carrier family 27 (fatty acid transporter), member 3
ENSG00000254135.1	0.0	0.7	0.0	0.0	RP11-32D16.1	chr5	lincRNA		--
ENSG00000089177.17	2.15	1.64	3.92	3.2	KIF16B	chr20	protein_coding	kinesin family member 16B
ENSG00000096872.15	0.73	0.74	14.71	0.0	IFT74	chr9	protein_coding	intraflagellar transport 74
ENSG00000101004.14	5.0	6.4	4.92	4.03	NINL	chr20	protein_coding	ninein-like
ENSG00000137841.11	1.57	1.29	0.0	4.32	PLCB2	chr15	protein_coding	phospholipase C, beta 2
ENSG00000246448.2	1.19	0.0	0.0	0.0	RP13-578N3.3	chr4	antisense		--
ENSG00000101901.10	5.6	4.62	4.69	2.87	ALG13	chrX	protein_coding	ALG13, UDP-N-acetylglucosaminyltransferase subunit
ENSG00000153207.14	0.3	0.27	5.55	1.82	AHCTF1	chr1	protein_coding	AT hook containing transcription factor 1
ENSG00000251349.3	1.95	3.3	0.0	3.87	MSANTD3-TMEFF1	chr9	protein_coding	MSANTD3-TMEFF1 readthrough
ENSG00000169230.9	2.13	2.71	6.47	0.0	PRELID1	chr5	protein_coding	PRELI domain containing 1
ENSG00000214708.4	3.36	2.78	0.0	0.0	AC090616.2	chr17	antisense		--
ENSG00000189139.5	0.46	0.0	0.0	0.0	FSCB	chr14	protein_coding	fibrous sheath CABYR binding protein
ENSG00000168970.20	0.4	3.49	4.9	6.0	JMJD7-PLA2G4B	chr15	protein_coding	JMJD7-PLA2G4B readthrough
ENSG00000118308.14	1.07	0.81	0.0	0.0	LRMP	chr12	protein_coding	lymphoid-restricted membrane protein
ENSG00000196422.10	2.29	4.34	1.55	3.03	PPP1R26	chr9	protein_coding	protein phosphatase 1, regulatory subunit 26
ENSG00000249803.5	0.0	1.52	0.0	0.0	RP11-114H21.2	chr5	lincRNA		--
ENSG00000234158.1	23.0	16.09	46.53	148.38	RPEP2	chr3	processed_pseudogene	ribulose-5-phosphate-3-epimerase pseudogene 2
ENSG00000131016.16	8.61	8.53	6.53	5.03	AKAP12	chr6	protein_coding	A kinase (PRKA) anchor protein 12
ENSG00000273492.5	0.0	1.0	0.0	0.0	AP000230.1	chr21	lincRNA		--
ENSG00000124102.4	0.0	1.78	0.0	0.0	PI3	chr20	protein_coding	peptidase inhibitor 3, skin-derived
ENSG00000251027.1	0.0	0.82	0.0	0.0	CTC-254B4.1	chr5	lincRNA		--
ENSG00000146414.15	3.26	3.8	0.0	2.78	SHPRH	chr6	protein_coding	SNF2 histone linker PHD RING helicase, E3 ubiquitin protein ligase
ENSG00000200516.1	0.0	5.7	0.0	0.0	RNA5SP378	chr12	rRNA	RNA, 5S ribosomal pseudogene 378
ENSG00000167968.12	2.45	1.56	0.0	0.0	DNASE1L2	chr16	protein_coding	deoxyribonuclease I-like 2
ENSG00000105171.9	1.81	1.28	3.38	0.0	POP4	chr19	protein_coding	processing of precursor 4, ribonuclease P/MRP subunit (S. cerevisiae)
ENSG00000087842.10	2.62	3.33	10.6	5.2	PIR	chrX	protein_coding	pirin (iron-binding nuclear protein)
ENSG00000108468.14	4.14	5.46	11.83	13.06	CBX1	chr17	protein_coding	chromobox homolog 1
ENSG00000260228.5	5.41	2.76	0.0	2.93	RP11-483P21.2	chr16	antisense		--
ENSG00000256576.2	0.91	0.92	0.0	0.0	RP13-977J11.2	chr12	lincRNA		--
ENSG00000112149.9	0.53	2.45	6.48	9.54	CD83	chr6	protein_coding	CD83 molecule
ENSG00000132975.7	0.0	0.13	0.0	0.0	GPR12	chr13	protein_coding	G protein-coupled receptor 12
ENSG00000171492.14	2.23	2.76	0.0	7.59	LRRC8D	chr1	protein_coding	leucine rich repeat containing 8 family, member D
ENSG00000258498.6	0.3	0.85	3.7	0.0	DIO3OS	chr14	lincRNA	DIO3 opposite strand/antisense RNA (head to head)
ENSG00000257920.1	1.17	1.19	0.0	0.0	RP11-541G9.2	chr12	lincRNA		--
ENSG00000280156.1	1.7	1.61	0.97	1.85	AC006548.28	chr22	sense_overlapping		--
ENSG00000224478.1	0.0	0.81	0.0	0.0	RP11-13P5.1	chr6	lincRNA		--
ENSG00000213358.3	2.13	0.0	0.0	0.0	AC092933.4	chr3	unprocessed_pseudogene		--
ENSG00000128694.11	1.07	1.09	3.25	6.38	OSGEPL1	chr2	protein_coding	O-sialoglycoprotein endopeptidase-like 1
ENSG00000100226.15	12.45	12.47	15.91	8.58	GTPBP1	chr22	protein_coding	GTP binding protein 1
ENSG00000265975.1	0.0	0.61	0.0	7.18	CTB-41I6.2	chr17	lincRNA		--
ENSG00000130052.13	7.08	3.94	7.96	3.91	STARD8	chrX	protein_coding	StAR-related lipid transfer (START) domain containing 8
ENSG00000102683.7	0.83	0.84	0.0	2.46	SGCG	chr13	protein_coding	sarcoglycan, gamma (35kDa dystrophin-associated glycoprotein)
ENSG00000138794.9	2.64	1.92	0.0	4.5	CASP6	chr4	protein_coding	caspase 6, apoptosis-related cysteine peptidase
ENSG00000127603.23	5.41	5.6	4.32	5.53	MACF1	chr1	protein_coding	microtubule-actin crosslinking factor 1
ENSG00000110076.18	2.09	0.69	2.2	0.54	NRXN2	chr11	protein_coding	neurexin 2
ENSG00000149136.7	10.25	9.7	23.14	11.35	SSRP1	chr11	protein_coding	structure specific recognition protein 1
ENSG00000253125.1	0.0	1.27	0.0	3.71	RP11-459E5.1	chr8	processed_transcript		--
ENSG00000196437.10	1.77	0.3	1.8	1.76	ZNF569	chr19	protein_coding	zinc finger protein 569
ENSG00000101292.7	0.0	0.59	0.0	0.0	PROKR2	chr20	protein_coding	prokineticin receptor 2
ENSG00000255191.1	0.0	0.0	37.75	0.0	RP11-626H12.1	chr11	lincRNA		--
ENSG00000188828.11	0.75	0.38	0.0	0.0	GLRA4	chrX	protein_coding	glycine receptor, alpha 4
ENSG00000214733.8	2.13	1.45	0.0	0.0	RP11-429J17.8	chr8	antisense		--
ENSG00000135930.13	2.31	1.9	10.91	2.29	EIF4E2	chr2	protein_coding	eukaryotic translation initiation factor 4E family member 2
ENSG00000165675.16	2.04	1.68	3.81	0.0	ENOX2	chrX	protein_coding	ecto-NOX disulfide-thiol exchanger 2
ENSG00000124227.5	1.29	0.0	0.0	0.0	ANKRD60	chr20	protein_coding	ankyrin repeat domain 60
ENSG00000204398.5	0.0	0.96	0.0	0.0	RP11-65D24.2	chr13	lincRNA		--
ENSG00000116014.9	7.03	2.74	0.0	0.0	KISS1R	chr19	protein_coding	KISS1 receptor
ENSG00000130997.16	3.3	3.47	0.0	2.46	POLN	chr4	protein_coding	polymerase (DNA directed) nu
ENSG00000233922.2	1.87	1.36	0.0	0.59	AL133493.2	chr21	lincRNA		--
ENSG00000180815.14	2.01	4.18	4.06	6.98	MAP3K15	chrX	protein_coding	mitogen-activated protein kinase kinase kinase 15
ENSG00000270265.1	2.49	0.0	0.0	0.0	RP11-731D1.4	chr4	lincRNA		--
ENSG00000251127.2	0.0	0.25	0.0	0.0	RP11-280G9.1	chr8	lincRNA		--
ENSG00000253352.8	5.09	7.12	14.03	11.7	TUG1	chr22	antisense	taurine up-regulated 1 (non-protein coding)
ENSG00000203804.4	1.3	2.64	0.0	0.0	ADAMTSL4-AS1	chr1	processed_transcript	ADAMTSL4 antisense RNA 1
ENSG00000260317.1	0.74	0.38	0.0	0.0	RP11-48B3.4	chr8	lincRNA		--
ENSG00000274261.1	0.0	2.15	25.64	0.0	RP1-66N13.4	chr20	lincRNA		--
ENSG00000230173.1	0.0	0.12	0.0	0.0	AC006196.1	chr2	lincRNA		--
ENSG00000269755.1	0.0	3.49	0.0	0.0	CTD-3105H18.18	chr19	protein_coding		--
ENSG00000144136.10	18.08	18.71	24.12	10.65	SLC20A1	chr2	protein_coding	solute carrier family 20 (phosphate transporter), member 1
ENSG00000145293.14	5.64	4.39	0.0	3.95	ENOPH1	chr4	protein_coding	enolase-phosphatase 1
ENSG00000237330.2	0.0	0.36	0.0	0.0	RNF223	chr1	protein_coding	ring finger protein 223
ENSG00000133067.17	1.77	1.17	0.0	0.0	LGR6	chr1	protein_coding	leucine-rich repeat containing G protein-coupled receptor 6
ENSG00000234076.1	3.85	1.96	11.7	5.74	TPRG1-AS1	chr3	lincRNA	TPRG1 antisense RNA 1
ENSG00000107651.12	3.0	3.15	5.69	1.12	SEC23IP	chr10	protein_coding	SEC23 interacting protein
ENSG00000228742.9	0.0	0.58	0.0	0.0	RP5-884M6.1	chr7	lincRNA		--
ENSG00000235532.1	0.4	0.2	0.0	0.0	LINC00402	chr13	lincRNA	long intergenic non-protein coding RNA 402
ENSG00000091317.7	9.91	7.52	8.44	7.25	CMTM6	chr3	protein_coding	CKLF-like MARVEL transmembrane domain containing 6
ENSG00000105664.10	0.0	1.01	0.0	0.0	COMP	chr19	protein_coding	cartilage oligomeric matrix protein
ENSG00000137411.16	10.88	11.25	8.01	3.93	VARS2	chr6	protein_coding	valyl-tRNA synthetase 2, mitochondrial
ENSG00000143322.19	8.92	8.22	8.38	19.61	ABL2	chr1	protein_coding	ABL proto-oncogene 2, non-receptor tyrosine kinase
ENSG00000215196.4	0.91	0.58	0.0	2.72	AC091878.1	chr5	antisense		--
ENSG00000224600.5	0.0	3.91	0.0	0.0	RP4-612B18.1	chr1	processed_pseudogene		--
ENSG00000246695.7	1.59	0.71	0.0	2.37	RASSF8-AS1	chr12	antisense	RASSF8 atnisense RNA 1
ENSG00000183963.18	7.9	7.4	5.75	17.87	SMTN	chr22	protein_coding	smoothelin
ENSG00000188229.5	20.11	21.72	59.77	19.55	TUBB4B	chr9	protein_coding	tubulin, beta 4B class IVb
ENSG00000237775.1	2.19	1.71	4.08	0.0	DDR1-AS1	chr6	antisense	DDR1 antisense RNA 1 (head to head)
ENSG00000169551.12	0.0	0.2	0.0	4.62	CT55	chrX	protein_coding	cancer/testis antigen 55
ENSG00000056972.18	1.12	0.69	1.51	0.0	TRAF3IP2	chr6	protein_coding	TRAF3 interacting protein 2
ENSG00000134901.12	1.3	2.49	11.88	3.88	KDELC1	chr13	protein_coding	KDEL (Lys-Asp-Glu-Leu) containing 1
ENSG00000256862.1	1.98	0.5	0.0	0.0	RP11-664D1.1	chr12	antisense		--
ENSG00000231293.1	0.0	1.07	0.0	0.0	RPL36AP6	chr9	processed_pseudogene	ribosomal protein L36a pseudogene 6
ENSG00000172456.16	0.61	0.94	0.0	0.0	FGGY	chr1	protein_coding	FGGY carbohydrate kinase domain containing
ENSG00000066923.17	1.77	1.12	3.58	1.75	STAG3	chr7	protein_coding	stromal antigen 3
ENSG00000268658.5	0.91	0.64	1.38	0.0	LINC00664	chr19	lincRNA	long intergenic non-protein coding RNA 664
ENSG00000234281.5	0.0	0.41	0.0	0.0	LANCL1-AS1	chr2	antisense	LANCL1 antisense RNA 1
ENSG00000258535.1	0.67	1.09	2.73	0.0	RP11-280K24.4	chr14	sense_overlapping		--
ENSG00000270631.1	2.41	0.0	0.0	0.0	RP11-710N8.3	chr1	processed_pseudogene		--
ENSG00000253959.1	2.72	0.0	0.0	0.0	CTB-43E15.1	chr5	lincRNA		--
ENSG00000116871.15	15.24	13.6	6.85	8.96	MAP7D1	chr1	protein_coding	MAP7 domain containing 1
ENSG00000258527.1	0.85	0.86	0.0	0.0	ASB9P1	chr15	processed_pseudogene	ankyrin repeat and SOCS box containing 9 pseudogene 1
ENSG00000228815.1	0.0	0.0	0.0	4.33	MARK2P13	chr7	processed_pseudogene	MAP/microtubule affinity-regulating kinase 2 pseudogene 13
ENSG00000178053.17	1.69	2.59	0.0	2.88	MLF1	chr3	protein_coding	myeloid leukemia factor 1
ENSG00000237477.1	0.0	0.62	0.0	0.0	AC093911.1	chr2	lincRNA		--
ENSG00000046653.14	3.4	2.66	0.0	6.24	GPM6B	chrX	protein_coding	glycoprotein M6B
ENSG00000225787.1	0.0	5.59	0.0	0.0	LSM3P3	chr2	processed_pseudogene	LSM3 pseudogene 3
ENSG00000198492.14	7.02	8.26	10.65	7.84	YTHDF2	chr1	protein_coding	YTH N(6)-methyladenosine RNA binding protein 2
ENSG00000065615.13	1.91	1.3	0.0	3.38	CYB5R4	chr6	protein_coding	cytochrome b5 reductase 4
ENSG00000100926.14	7.37	6.84	7.89	9.04	TM9SF1	chr14	protein_coding	transmembrane 9 superfamily member 1
ENSG00000214357.8	1.15	1.7	2.54	3.74	NEURL1B	chr5	protein_coding	neuralized E3 ubiquitin protein ligase 1B
ENSG00000129667.12	3.95	4.02	2.08	5.11	RHBDF2	chr17	protein_coding	rhomboid 5 homolog 2 (Drosophila)
ENSG00000242753.1	0.98	0.0	0.0	0.0	RP11-716O23.2	chr6	lincRNA		--
ENSG00000253832.1	1.11	1.13	0.0	0.0	CTD-2168K21.1	chr8	lincRNA		--
ENSG00000126457.20	14.08	16.48	8.55	29.35	PRMT1	chr19	protein_coding	protein arginine methyltransferase 1
ENSG00000134287.9	0.0	0.5	0.0	0.0	ARF3	chr12	protein_coding	ADP-ribosylation factor 3
ENSG00000162775.14	23.3	17.64	10.48	14.56	RBM15	chr1	protein_coding	RNA binding motif protein 15
ENSG00000271071.1	2.23	0.0	0.0	0.0	RP11-457M11.6	chr6	processed_pseudogene		--
ENSG00000246022.2	0.0	0.15	0.0	1.79	ALDH1L1-AS2	chr3	antisense	ALDH1L1 antisense RNA 2
ENSG00000164113.10	0.0	0.92	0.0	5.41	ADAD1	chr4	protein_coding	adenosine deaminase domain containing 1 (testis-specific)
ENSG00000235749.2	0.87	0.0	0.0	0.0	RP11-634B7.4	chr1	antisense		--
ENSG00000221711.1	0.0	5.89	0.0	0.0	SNORD75	chr4	snoRNA	small nucleolar RNA, C/D box 75
ENSG00000248884.1	1.64	0.0	0.0	0.0	CTC-537E7.3	chr5	lincRNA		--
ENSG00000198753.11	0.63	0.38	0.0	1.25	PLXNB3	chrX	protein_coding	plexin B3
ENSG00000143457.10	0.9	1.94	8.16	0.0	GOLPH3L	chr1	protein_coding	golgi phosphoprotein 3-like
ENSG00000103876.11	4.29	3.51	0.0	5.48	FAH	chr15	protein_coding	fumarylacetoacetate hydrolase (fumarylacetoacetase)
ENSG00000241877.1	0.0	0.58	0.0	0.0	RP11-84H6.1	chr4	processed_pseudogene		--
ENSG00000232447.1	1.49	0.38	0.0	0.0	MTND5P3	chr13	processed_pseudogene	MT-ND5 pseudogene 3
ENSG00000080298.15	0.87	0.67	0.0	0.0	RFX3	chr9	protein_coding	regulatory factor X, 3 (influences HLA class II expression)
ENSG00000157570.11	9.0	8.3	7.4	5.45	TSPAN18	chr11	protein_coding	tetraspanin 18
ENSG00000267490.1	0.0	0.7	0.0	0.0	CTD-3116E22.6	chr19	unprocessed_pseudogene		--
ENSG00000197168.11	0.92	0.7	0.0	0.0	NEK5	chr13	protein_coding	NIMA-related kinase 5
ENSG00000188677.14	2.6	3.57	1.37	0.67	PARVB	chr22	protein_coding	parvin, beta
ENSG00000115841.19	0.0	0.16	0.0	2.8	RMDN2	chr2	protein_coding	regulator of microtubule dynamics 2
ENSG00000203395.2	0.0	0.24	0.0	0.0	AC015969.3	chr2	antisense		--
ENSG00000196782.12	0.77	0.93	0.0	1.14	MAML3	chr4	protein_coding	mastermind-like 3 (Drosophila)
ENSG00000272880.1	0.0	0.61	0.0	0.0	RP11-33M22.2	chr1	lincRNA		--
ENSG00000259868.2	0.0	0.23	0.0	0.0	RP11-1012E15.2	chr14	processed_transcript		--
ENSG00000272163.1	8.95	6.03	6.39	12.54	GS1-72M22.1	chr8	antisense		--
ENSG00000113360.16	9.77	9.19	16.52	18.42	DROSHA	chr5	protein_coding	drosha, ribonuclease type III
ENSG00000226397.7	0.57	0.0	0.0	5.13	C12orf77	chr12	lincRNA	chromosome 12 open reading frame 77
ENSG00000271356.1	0.0	0.75	0.0	0.0	RP11-335E8.1	chr2	processed_pseudogene		--
ENSG00000278668.1	0.0	1.16	0.0	0.0	RP11-227G15.11	chr17	lincRNA		--
ENSG00000161921.14	1.66	2.96	6.72	0.0	CXCL16	chr17	protein_coding	chemokine (C-X-C motif) ligand 16
ENSG00000172594.12	0.0	2.6	12.41	2.03	SMPDL3A	chr6	protein_coding	sphingomyelin phosphodiesterase, acid-like 3A
ENSG00000232855.6	0.11	0.39	2.67	1.31	AF131217.1	chr21	lincRNA		--
ENSG00000235077.1	3.93	2.0	0.0	0.0	AC073842.19	chr7	antisense		--
ENSG00000242798.1	0.0	0.6	0.0	0.0	RP11-506M12.1	chr7	antisense		--
ENSG00000231574.5	2.27	0.69	0.0	0.0	RP11-91K9.1	chr3	lincRNA		--
ENSG00000213849.3	0.0	1.84	0.0	0.0	AC104306.1	chr3	processed_pseudogene		--
ENSG00000051009.10	6.42	4.7	0.0	2.8	FAM160A2	chr11	protein_coding	family with sequence similarity 160, member A2
ENSG00000254732.1	1.16	2.36	0.0	0.0	RP11-691N7.6	chr11	protein_coding		--
ENSG00000272482.1	13.63	5.95	23.64	69.57	RP11-474O21.5	chr1	lincRNA		--
ENSG00000236420.1	1.99	0.0	24.13	0.0	CHCHD3P1	chr10	processed_pseudogene	coiled-coil-helix-coiled-coil-helix domain containing 3 pseudogene 1
ENSG00000156049.6	1.08	0.96	0.0	0.0	GNA14	chr9	protein_coding	guanine nucleotide binding protein (G protein), alpha 14
ENSG00000154309.8	1.13	1.01	1.71	0.0	DISP1	chr1	protein_coding	dispatched homolog 1 (Drosophila)
ENSG00000090612.20	0.69	0.68	0.0	0.59	ZNF268	chr12	protein_coding	zinc finger protein 268
ENSG00000159917.14	0.84	1.54	0.0	0.0	ZNF235	chr19	protein_coding	zinc finger protein 235
ENSG00000213614.9	0.0	0.23	0.0	0.0	HEXA	chr15	protein_coding	hexosaminidase A (alpha polypeptide)
ENSG00000147059.8	1.86	1.07	0.0	0.0	SPIN2A	chrX	protein_coding	spindlin family, member 2A
ENSG00000151725.11	5.38	3.42	8.16	4.0	CENPU	chr4	protein_coding	centromere protein U
ENSG00000163636.10	6.74	8.0	9.09	4.46	PSMD6	chr3	protein_coding	proteasome (prosome, macropain) 26S subunit, non-ATPase, 6
ENSG00000276918.1	4.51	0.0	0.0	0.0	Metazoa_SRP	chr11	misc_RNA		--
ENSG00000163605.14	6.13	4.27	1.52	2.98	PPP4R2	chr3	protein_coding	protein phosphatase 4, regulatory subunit 2
ENSG00000236731.1	119.71	111.02	113.03	134.67	RP4-801G22.2	chr1	unprocessed_pseudogene		--
ENSG00000244464.1	1.17	0.59	0.0	0.0	RP11-201E8.1	chr3	lincRNA		--
ENSG00000184898.6	1.57	1.45	1.73	1.7	RBM43	chr2	protein_coding	RNA binding motif protein 43
ENSG00000162961.13	4.75	6.85	9.62	0.0	DPY30	chr2	protein_coding	dpy-30 homolog (C. elegans)
ENSG00000261447.1	0.0	0.71	0.0	0.0	RP11-109D9.4	chr9	lincRNA		--
ENSG00000269403.1	2.44	0.0	0.0	0.0	CTD-2616J11.11	chr19	protein_coding		--
ENSG00000107745.16	3.66	4.85	8.89	1.45	MICU1	chr10	protein_coding	mitochondrial calcium uptake 1
ENSG00000248464.1	0.0	0.36	0.0	0.0	FGF10-AS1	chr5	antisense	FGF10 antisense RNA 1
ENSG00000253429.1	0.0	2.33	0.0	0.0	KB-1090H4.2	chr8	processed_pseudogene		--
ENSG00000198763.3	24.5	18.05	1408.61	138.21	MT-ND2	chrM	protein_coding	mitochondrially encoded NADH dehydrogenase 2
ENSG00000165462.5	0.79	0.6	0.0	0.0	PHOX2A	chr11	protein_coding	paired-like homeobox 2a
ENSG00000180475.4	0.0	1.65	0.0	3.86	OR10Q1	chr11	protein_coding	olfactory receptor, family 10, subfamily Q, member 1
ENSG00000230817.5	0.72	0.73	0.0	0.0	LINC01362	chr1	lincRNA	long intergenic non-protein coding RNA 1362
