#Chr	Start	End	PeakID	Tags	Strand	Length	maxHeight	Summit
chr15	65869058	65869138	chr15_92002	16	-	81	13	65869059
chr15	66347294	66347345	chr15_92030	14	-	52	13	66347326
chr15	66501251	66501318	chr15_92055	68	-	68	53	66501294
chr15	66502016	66502091	chr15_92058	50	-	76	26	66502032
chr15	66502809	66502911	chr15_92061	51	-	103	22	66502873
chr15	66503244	66503313	chr15_92064	54	-	70	28	66503256
chr15	66503511	66503529	chr15_92066	7	-	19	7	66503522
chr15	66504759	66504843	chr15_92068	18	-	85	11	66504794
chr15	66703506	66703577	chr15_84696	5	+	72	5	66703537
chr15	66725347	66725402	chr15_84753	5	+	56	5	66725350
chr15	68200163	68200243	chr15_92163	7	-	81	6	68200220
chr15	68218589	68218650	chr15_92243	6	-	62	5	68218619
chr15	68277862	68277978	chr15_85158	7	+	117	4	68277896
chr15	69452847	69453032	chr15_85300	30	+	186	17	69452946
chr15	70096925	70096985	chr15_92497	7	-	61	6	70096957
chr15	72199205	72199279	chr15_92688	10	-	75	6	72199227
chr15	72199510	72199583	chr15_92692	13	-	74	7	72199534
chr15	72202539	72202584	chr15_92703	9	-	46	9	72202556
chr15	72231115	72231220	chr15_92766	24	-	106	12	72231127
chr15	73570320	73570371	chr15_92930	5	-	52	5	73570336
chr15	73633157	73633227	chr15_92977	6	-	71	5	73633196
chr15	74873210	74873238	chr15_93200	4	-	29	4	74873215
chr15	74937926	74938027	chr15_93238	9	-	102	5	74938006
chr15	75210834	75210882	chr15_86126	4	+	49	4	75210857
chr15	75371641	75371686	chr15_93308	4	-	46	4	75371650
chr15	76931841	76931920	chr15_86373	7	+	80	5	76931866
chr15	76935606	76935722	chr15_86382	8	+	117	6	76935669
chr15	77113307	77113349	chr15_93689	4	-	43	4	77113329
chr15	78540493	78540539	chr15_86521	6	+	47	5	78540512
chr15	78589852	78589883	chr15_86553	5	+	32	5	78589862
chr15	79322293	79322360	chr15_86650	6	+	68	5	79322316
chr15	81001869	81001963	chr15_86908	6	+	95	5	81001926
chr15	82540425	82540454	chr15_94229	5	-	30	5	82540425
chr15	84200219	84200276	chr15_94431	7	-	58	7	84200246
chr15	84716382	84716405	chr15_87147	4	+	24	4	84716382
chr15	89330192	89330242	chr15_94756	5	-	51	5	89330210
chr15	89330246	89330276	chr15_94757	6	-	31	6	89330254
chr15	89575584	89575679	chr15_87725	7	+	96	4	89575617
chr15	89897978	89898001	chr15_94895	9	-	24	9	89897982
chr15	90949672	90949731	chr15_88240	4	+	60	4	90949694
chr15	90957282	90957309	chr15_88262	4	+	28	4	90957290
chr15	98648773	98648836	chr15_88539	7	+	64	5	98648804
chr15	98707589	98707644	chr15_88600	6	+	56	5	98707617
chr15	98707919	98707979	chr15_88603	6	+	61	6	98707946
chr15	101277358	101277416	chr15_95524	6	-	59	5	101277375
chr16	371684	371761	chr16_73498	5	-	78	4	371728
chr16	399378	399421	chr16_62977	6	+	44	5	399397
chr16	554301	554347	chr16_63140	10	+	47	10	554327
chr16	690278	690311	chr16_73606	4	-	34	4	690291
chr16	786194	786240	chr16_73671	4	-	47	4	786211
chr16	790703	790737	chr16_63504	5	+	35	5	790715
chr16	1446067	1446193	chr16_73832	9	-	127	6	1446144
chr16	1678301	1678348	chr16_63921	4	+	48	4	1678318
chr16	1770688	1770724	chr16_73989	4	-	37	4	1770698
chr16	1772060	1772142	chr16_73996	7	-	83	5	1772089
chr16	1772851	1772879	chr16_74004	4	-	29	4	1772857
chr16	1773002	1773085	chr16_74007	5	-	84	4	1773011
chr16	2135823	2135892	chr16_74193	10	-	70	9	2135855
chr16	2155022	2155105	chr16_74206	35	-	84	21	2155075
chr16	2456707	2456729	chr16_74391	6	-	23	6	2456712
chr16	2513965	2514008	chr16_64560	5	+	44	5	2513982
chr16	2520171	2520198	chr16_64581	5	+	28	5	2520172
chr16	2756480	2756606	chr16_64708	12	+	127	6	2756495
chr16	2760322	2760363	chr16_64728	7	+	42	7	2760335
chr16	2761598	2761657	chr16_64731	8	+	60	7	2761626
chr16	2761960	2761998	chr16_64735	8	+	39	8	2761961
chr16	2762276	2762379	chr16_64740	12	+	104	6	2762308
chr16	2762380	2762430	chr16_64741	7	+	51	7	2762404
chr16	2763093	2763227	chr16_64751	15	+	135	7	2763153
chr16	2765101	2765166	chr16_64780	7	+	66	6	2765112
chr16	2765297	2765342	chr16_64783	8	+	46	8	2765323
chr16	2765549	2765710	chr16_64787	29	+	162	12	2765690
chr16	2765870	2766002	chr16_64790	15	+	133	6	2765895
chr16	2766004	2766206	chr16_64791	24	+	203	7	2766038
chr16	2766352	2766417	chr16_64794	7	+	66	6	2766381
chr16	2766438	2766518	chr16_64795	11	+	81	9	2766482
chr16	2766811	2766851	chr16_64801	9	+	41	9	2766834
chr16	2767083	2767139	chr16_64805	8	+	57	6	2767112
chr16	2767144	2767196	chr16_64806	6	+	53	6	2767158
chr16	2767208	2767402	chr16_64807	28	+	195	11	2767351
chr16	2767489	2767621	chr16_64809	16	+	133	8	2767549
chr16	2767968	2768033	chr16_64816	11	+	66	7	2768010
chr16	2769411	2769494	chr16_64832	8	+	84	6	2769453
chr16	2776996	2777061	chr16_74493	6	-	66	4	2777028
chr16	2971749	2971781	chr16_64920	5	+	33	5	2971759
chr16	3030750	3030770	chr16_74588	4	-	21	4	3030752
chr16	3036821	3036840	chr16_74591	4	-	20	4	3036822
chr16	3152899	3152971	chr16_64995	9	+	73	5	3152951
chr16	3170979	3171016	chr16_74653	6	-	38	6	3170996
chr16	3192016	3192058	chr16_65003	12	+	43	12	3192021
chr16	3662893	3662989	chr16_74740	10	-	97	7	3662923
chr16	3690856	3690892	chr16_74794	5	-	37	5	3690868
chr16	3690933	3690985	chr16_74795	5	-	53	5	3690965
chr16	4442333	4442389	chr16_65177	4	+	57	4	4442360
chr16	4804718	4804755	chr16_75245	4	-	38	4	4804731
chr16	4847723	4847748	chr16_65303	4	+	26	4	4847727
chr16	4880575	4880638	chr16_65337	6	+	64	4	4880581
chr16	6007398	6007419	chr16_65370	4	+	22	4	6007399
chr16	11385356	11385380	chr16_65723	7	+	25	7	11385361
chr16	11774253	11774304	chr16_75604	5	-	52	4	11774261
chr16	11915596	11915664	chr16_75681	8	-	69	8	11915630
chr16	11915835	11915913	chr16_75683	8	-	79	5	11915888
chr16	15107078	15107137	chr16_75750	4	-	60	4	15107092
chr16	15107653	15107687	chr16_75752	4	-	35	4	15107653
chr16	15108736	15108780	chr16_75758	4	-	45	4	15108756
chr16	16163040	16163060	chr16_66064	4	+	21	4	16163042
chr16	18790295	18790329	chr16_75854	6	-	35	6	18790310
chr16	22195720	22195800	chr16_76104	15	-	81	11	22195743
chr16	23479796	23479868	chr16_76238	6	-	73	5	23479829
chr16	23557965	23558056	chr16_66492	7	+	92	5	23557982
chr16	23587304	23587319	chr16_76300	6	-	16	6	23587314
chr16	23596122	23596169	chr16_76303	8	-	48	6	23596122
chr16	23596216	23596310	chr16_76304	7	-	95	5	23596271
chr16	23690119	23690281	chr16_66591	6	+	163	5	23690131
chr16	25692377	25692412	chr16_76417	5	-	36	5	25692382
chr16	28832492	28832567	chr16_66933	8	+	76	7	28832534
chr16	28836412	28836488	chr16_66952	7	+	77	6	28836463
chr16	28837111	28837169	chr16_66959	7	+	59	6	28837149
chr16	28843045	28843091	chr16_76795	5	-	47	5	28843046
chr16	28974808	28974912	chr16_67044	7	+	105	5	28974877
chr16	28975315	28975365	chr16_67051	5	+	51	5	28975330
chr16	29798980	29799016	chr16_67127	7	+	37	7	29798993
chr16	29807191	29807230	chr16_67165	9	+	40	9	29807205
chr16	29807354	29807444	chr16_67168	12	+	91	7	29807379
chr16	29807457	29807508	chr16_67169	8	+	52	8	29807476
chr16	29807651	29807729	chr16_67172	8	+	79	6	29807686
chr16	29810420	29810597	chr16_67197	19	+	178	8	29810451
chr16	29816613	29816652	chr16_67215	7	+	40	7	29816629
chr16	29816731	29816797	chr16_67216	5	+	67	5	29816768
chr16	29858975	29859047	chr16_76887	8	-	73	5	29859022
chr16	29876856	29876901	chr16_76910	4	-	46	4	29876859
chr16	29979003	29979053	chr16_67289	5	+	51	5	29979034
chr16	30065807	30065908	chr16_67409	11	+	102	7	30065832
chr16	30067233	30067359	chr16_67412	26	+	127	18	30067328
chr16	30069839	30070029	chr16_67424	16	+	191	12	30070020
chr16	30070116	30070302	chr16_67425	38	+	187	11	30070116
chr16	30070304	30070390	chr16_67426	13	+	87	8	30070369
chr16	30084784	30084855	chr16_67457	11	+	72	7	30084834
chr16	30084932	30084960	chr16_67458	5	+	29	5	30084939
chr16	30114604	30114685	chr16_77025	5	-	82	4	30114639
chr16	30358271	30358307	chr16_77076	5	-	37	5	30358281
chr16	30419641	30419696	chr16_77134	8	-	56	7	30419645
chr16	30524602	30524639	chr16_77174	5	-	38	5	30524611
chr16	30662791	30662859	chr16_67595	6	+	69	5	30662817
chr16	30669411	30669449	chr16_67616	5	+	39	5	30669414
chr16	30710592	30710665	chr16_67663	8	+	74	5	30710609
chr16	30724728	30724860	chr16_67708	12	+	133	5	30724782
chr16	30768384	30768454	chr16_67818	7	+	71	6	30768426
chr16	30924433	30924459	chr16_67880	5	+	27	5	30924449
chr16	30925730	30925788	chr16_67882	7	+	59	5	30925730
chr16	30946802	30946885	chr16_67927	6	+	84	5	30946849
chr16	30957858	30957879	chr16_77295	5	-	22	5	30957859
chr16	31459052	31459078	chr16_77406	4	-	27	4	31459053
chr16	34158971	34159015	chr16_68255	36	+	45	35	34158994
chr16	34159690	34159719	chr16_68263	15	+	30	15	34159693
chr16	34159756	34159778	chr16_68264	5	+	23	5	34159758
chr16	34160137	34160176	chr16_68265	5	+	40	5	34160145
chr16	34162987	34163039	chr16_68274	7	+	53	6	34162996
chr16	46796752	46796774	chr16_68311	8	+	23	8	46796755
chr16	50636566	50636587	chr16_68608	4	+	22	4	50636569
chr16	56357167	56357185	chr16_77943	4	-	19	4	56357168
chr16	56590170	56590192	chr16_69003	4	+	23	4	56590172
chr16	58515907	58515928	chr16_69275	4	+	22	4	58515910
chr16	58548502	58548606	chr16_78247	65	-	105	39	58548560
chr16	58548607	58548658	chr16_78248	7	-	52	6	58548610
chr16	58559803	58559932	chr16_78267	36	-	130	14	58559890
chr16	63666662	63666685	chr16_69313	4	+	24	4	63666663
chr16	64698317	64698336	chr16_69314	4	+	20	4	64698318
chr16	65840366	65840387	chr16_69322	4	+	22	4	65840366
chr16	66934007	66934047	chr16_78563	4	-	41	4	66934028
chr16	67163240	67163278	chr16_69467	4	+	39	4	67163254
chr16	67198130	67198182	chr16_69516	10	+	53	9	67198139
chr16	67830204	67830252	chr16_78874	5	-	49	5	67830224
chr16	68085646	68085716	chr16_69828	4	+	71	4	68085695
chr16	69320140	69320193	chr16_70145	3	+	54	3	69320149
chr16	69742266	69742314	chr16_79111	4	-	49	4	69742275
chr16	69976887	69976938	chr16_79122	6	-	52	6	69976892
chr16	69977069	69977113	chr16_79124	5	-	45	5	69977082
chr16	70250896	70250963	chr16_79154	8	-	68	8	70250925
chr16	70251344	70251389	chr16_79158	6	-	46	6	70251359
chr16	70251808	70251914	chr16_79161	6	-	107	5	70251838
chr16	70523888	70523928	chr16_70356	5	+	41	5	70523904
chr16	70529512	70529587	chr16_70371	21	+	76	12	70529536
chr16	71758406	71758482	chr16_79567	10	-	77	5	71758461
chr16	74296900	74296956	chr16_70668	4	+	57	4	74296916
chr16	83807581	83807602	chr16_80399	4	-	22	4	83807583
chr16	83808019	83808121	chr16_71637	9	+	103	5	83808026
chr16	84590140	84590209	chr16_80613	5	-	70	4	84590150
chr16	84888925	84888945	chr16_80641	4	-	21	4	84888928
chr16	84976349	84976395	chr16_80651	4	-	47	4	84976362
chr16	85171145	85171177	chr16_71866	4	+	33	4	85171148
chr16	87384022	87384064	chr16_80929	22	-	43	22	87384033
chr16	87831067	87831105	chr16_81150	5	-	39	5	87831076
chr16	87832075	87832138	chr16_81161	7	-	64	7	87832105
chr16	87832285	87832371	chr16_81163	8	-	87	6	87832307
chr16	87832445	87832541	chr16_81166	11	-	97	6	87832457
chr16	87834446	87834600	chr16_81178	8	-	155	5	87834513
chr16	87838794	87838817	chr16_81190	6	-	24	5	87838815
chr16	87839666	87839730	chr16_81193	9	-	65	7	87839701
chr16	87851755	87851849	chr16_81220	11	-	95	8	87851798
chr16	88643314	88643361	chr16_81254	7	-	48	6	88643342
chr16	88648079	88648139	chr16_81275	6	-	61	6	88648101
chr16	88736336	88736391	chr16_81416	5	-	56	5	88736360
chr16	88804761	88804854	chr16_72626	8	+	94	5	88804802
chr16	88807280	88807406	chr16_72641	10	+	127	5	88807355
chr16	88809735	88809840	chr16_81481	9	-	106	5	88809796
chr16	88811559	88811593	chr16_81493	8	-	35	8	88811574
chr16	89101316	89101347	chr16_72688	5	+	32	5	89101332
chr16	89102603	89102617	chr16_72690	5	+	15	5	89102603
chr16	89279967	89280012	chr16_81610	5	-	46	5	89279971
chr16	89490428	89490480	chr16_81907	6	-	53	5	89490458
chr16	89694982	89695050	chr16_72934	5	+	69	5	89695000
chr16	89723368	89723406	chr16_73018	5	+	39	5	89723385
chr16	89816569	89816629	chr16_82111	7	-	61	6	89816597
chr17	443433	443494	chr17_50740	5	-	62	4	443452
chr17	1003700	1003756	chr17_39071	3	+	57	3	1003732
chr17	1400108	1400211	chr17_51050	22	-	104	12	1400131
chr17	1518238	1518267	chr17_51128	4	-	30	4	1518242
chr17	1713913	1713935	chr17_51301	4	-	23	4	1713916
chr17	1936371	1936390	chr17_51347	5	-	20	5	1936373
chr17	2329118	2329207	chr17_51458	24	-	90	17	2329181
chr17	2330283	2330364	chr17_51461	25	-	82	15	2330332
chr17	2419326	2419345	chr17_51521	4	-	20	4	2419328
chr17	2698124	2698192	chr17_51600	8	-	69	6	2698159
chr17	4541794	4541843	chr17_52018	5	-	50	5	4541817
chr17	4672609	4672692	chr17_52099	8	-	84	5	4672659
chr17	4715776	4715817	chr17_39514	4	+	42	4	4715789
chr17	4833604	4833647	chr17_39571	4	+	44	4	4833617
chr17	7243988	7244045	chr17_52551	4	-	58	4	7244007
chr17	7311628	7311651	chr17_39991	12	+	24	12	7311638
chr17	7311821	7311917	chr17_39992	18	+	97	12	7311821
chr17	7394561	7394584	chr17_52634	9	-	24	9	7394564
chr17	7495940	7496063	chr17_40107	11	+	124	6	7495983
chr17	7500963	7501018	chr17_40133	6	+	56	5	7500997
chr17	7503585	7503650	chr17_40148	6	+	66	5	7503618
chr17	7574775	7574847	chr17_40222	17	+	73	13	7574805
chr17	7576813	7576953	chr17_40227	81	+	141	36	7576841
chr17	7577954	7578093	chr17_40230	50	+	140	25	7578036
chr17	7578819	7578859	chr17_40235	6	+	41	6	7578833
chr17	7857123	7857207	chr17_52783	9	-	85	5	7857167
chr17	7930559	7930580	chr17_52802	3	-	22	3	7930560
chr17	7935068	7935107	chr17_52812	5	-	40	5	7935087
chr17	8119184	8119241	chr17_40445	9	+	58	9	8119217
chr17	8120923	8120952	chr17_40446	6	+	30	6	8120924
chr17	8221547	8221577	chr17_40457	7	+	31	7	8221547
chr17	8383156	8383180	chr17_52966	4	-	25	4	8383160
chr17	12992596	12992643	chr17_53230	5	-	48	5	12992611
chr17	14261617	14261637	chr17_40882	7	+	21	7	14261620
chr17	15649997	15650035	chr17_53463	4	-	39	4	15650011
chr17	16381124	16381184	chr17_41031	8	+	61	6	16381149
chr17	16439548	16439576	chr17_41049	7	+	29	7	16439558
chr17	16440035	16440115	chr17_41055	43	+	81	31	16440086
chr17	18061963	18061975	chr17_53886	8	-	13	8	18061965
chr17	18065179	18065187	chr17_53887	8	-	9	8	18065179
chr17	18184251	18184344	chr17_41539	10	+	94	5	18184297
chr17	18184594	18184632	chr17_41544	5	+	39	5	18184606
chr17	18249126	18249201	chr17_53925	6	-	76	5	18249152
chr17	18255212	18255263	chr17_53936	5	-	52	5	18255235
chr17	18246751	18246771	chr17_41635	5	+	21	5	18246753
chr17	19188086	19188146	chr17_41713	4	+	61	4	19188090
chr17	19548029	19548070	chr17_41849	5	+	42	5	19548037
chr17	21001547	21001592	chr17_54189	5	-	46	5	21001570
chr17	21002824	21002884	chr17_54198	7	-	61	7	21002846
chr17	22524626	22524664	chr17_42128	20	+	39	20	22524638
chr17	22528837	22528876	chr17_42130	8	+	40	8	22528851
chr17	28714503	28714523	chr17_42432	5	+	21	5	28714506
chr17	28720532	28720615	chr17_42438	31	+	84	22	28720573
chr17	28722583	28722676	chr17_42442	68	+	94	45	28722627
chr17	28723434	28723493	chr17_42444	25	+	60	22	28723468
chr17	28723683	28723757	chr17_42446	39	+	75	35	28723704
chr17	29286644	29286727	chr17_54925	6	-	84	5	29286688
chr17	29390642	29390672	chr17_54948	4	-	31	4	29390653
chr17	29572869	29572938	chr17_42643	12	+	70	10	29572871
chr17	30117094	30117154	chr17_42700	12	+	61	9	30117130
chr17	30634747	30634771	chr17_55139	6	-	25	6	30634751
chr17	30971217	30971244	chr17_55167	4	-	28	4	30971226
chr17	31550145	31550204	chr17_43151	9	+	60	8	31550167
chr17	31937141	31937176	chr17_43168	5	+	36	5	31937152
chr17	32373582	32373630	chr17_43286	5	+	49	5	32373605
chr17	32490199	32490221	chr17_55238	4	-	23	4	32490203
chr17	35095658	35095687	chr17_43447	4	+	30	4	35095664
chr17	35151220	35151327	chr17_55443	29	-	108	17	35151253
chr17	35568310	35568356	chr17_43477	4	+	47	4	35568336
chr17	35573656	35573694	chr17_43483	4	+	39	4	35573672
chr17	35724144	35724166	chr17_55457	4	-	23	4	35724145
chr17	35809501	35809576	chr17_43558	7	+	76	5	35809523
chr17	36534031	36534078	chr17_55509	5	-	48	5	36534045
chr17	38851545	38851582	chr17_55699	6	-	38	6	38851557
chr17	38852859	38852899	chr17_55703	22	-	41	22	38852878
chr17	38852901	38852996	chr17_55704	30	-	96	20	38852972
chr17	39154453	39154489	chr17_55723	4	-	37	4	39154469
chr17	40027553	40027634	chr17_55913	17	-	82	10	40027614
chr17	40062829	40062854	chr17_44011	7	+	26	7	40062833
chr17	41688888	41688966	chr17_44227	11	+	79	5	41688903
chr17	41689012	41689057	chr17_44228	8	+	46	8	41689030
chr17	41818193	41818278	chr17_44270	8	+	86	7	41818240
chr17	41819351	41819399	chr17_44278	7	+	49	6	41819363
chr17	41822294	41822433	chr17_44302	13	+	140	6	41822345
chr17	41897778	41897811	chr17_56213	5	-	34	5	41897787
chr17	41913726	41913887	chr17_56247	12	-	162	5	41913748
chr17	42050429	42050456	chr17_56291	2	-	28	2	42050430
chr17	42128287	42128326	chr17_56343	4	-	40	4	42128301
chr17	43022333	43022369	chr17_56631	4	-	37	4	43022336
chr17	43386475	43386516	chr17_56697	5	-	42	5	43386478
chr17	43387440	43387498	chr17_56698	7	-	59	7	43387469
chr17	44123518	44123544	chr17_56902	8	-	27	8	44123519
chr17	44321057	44321188	chr17_56984	12	-	132	5	44321085
chr17	44321192	44321225	chr17_56985	5	-	34	5	44321204
chr17	44349157	44349222	chr17_44802	6	+	66	5	44349194
chr17	44352014	44352058	chr17_44822	6	+	45	6	44352029
chr17	44883092	44883138	chr17_57168	7	-	47	5	44883097
chr17	46755801	46755823	chr17_45102	9	+	23	9	46755804
chr17	47658549	47658567	chr17_57576	4	-	19	4	47658550
chr17	47650240	47650284	chr17_45213	12	+	45	7	47650270
chr17	47650385	47650444	chr17_45214	11	+	60	9	47650405
chr17	47664177	47664243	chr17_45243	5	+	67	5	47664209
chr17	48543429	48543477	chr17_57640	4	-	49	4	48543452
chr17	48997694	48997744	chr17_45521	6	+	51	6	48997720
chr17	48997758	48997806	chr17_45522	6	+	49	6	48997784
chr17	49038342	49038375	chr17_45562	5	+	34	5	49038350
chr17	49497579	49497602	chr17_45649	8	+	24	8	49497581
chr17	50150901	50150950	chr17_58155	4	-	50	4	50150927
chr17	50392789	50392864	chr17_58224	6	-	76	5	50392841
chr17	50719663	50719711	chr17_45910	5	+	49	5	50719684
chr17	57839832	57839935	chr17_58491	5	-	104	5	57839903
chr17	57840925	57841041	chr17_58493	4	-	117	4	57840925
chr17	58006409	58006492	chr17_58603	8	-	84	5	58006464
chr17	58007156	58007242	chr17_58609	10	-	87	7	58007201
chr17	59619899	59619959	chr17_46832	5	+	61	4	59619914
chr17	59620076	59620146	chr17_46835	7	+	71	5	59620089
chr17	59693844	59693887	chr17_46914	4	+	44	4	59693849
chr17	59963235	59963256	chr17_46964	4	+	22	4	59963238
chr17	60231553	60231589	chr17_58843	5	-	37	5	60231559
chr17	60525815	60525892	chr17_58890	6	-	78	5	60525825
chr17	62065360	62065400	chr17_59092	5	-	41	5	62065364
chr17	63601133	63601156	chr17_47410	6	+	24	6	63601139
chr17	63761238	63761292	chr17_59172	4	-	55	4	63761274
chr17	63831397	63831425	chr17_47508	4	+	29	4	63831414
chr17	64146067	64146216	chr17_47524	84	+	150	64	64146126
chr17	64146325	64146448	chr17_47526	45	+	124	23	64146338
chr17	64465495	64465514	chr17_47540	4	+	20	4	64465497
chr17	64500548	64500732	chr17_59349	11	-	185	6	64500612
chr17	64506075	64506264	chr17_59378	18	-	190	5	64506172
chr17	67366485	67366522	chr17_59659	4	-	38	4	67366502
chr17	67825901	67825934	chr17_47837	5	+	34	5	67825914
chr17	67922696	67922718	chr17_47879	5	+	23	5	67922697
chr17	67993610	67993631	chr17_59671	7	-	22	7	67993612
chr17	68035748	68035840	chr17_47912	8	+	93	4	68035781
chr17	73644613	73644648	chr17_60094	5	-	36	5	73644627
chr17	74917581	74917605	chr17_60160	5	-	25	5	74917584
chr17	75035112	75035137	chr17_48256	4	+	26	4	75035112
chr17	75035142	75035186	chr17_48257	4	+	45	4	75035142
chr17	75046924	75046960	chr17_60176	4	-	37	4	75046924
chr17	75182830	75182917	chr17_60223	14	-	88	8	75182890
chr17	75499564	75499609	chr17_48417	5	+	46	5	75499580
chr17	75779712	75779774	chr17_60412	5	-	63	4	75779722
chr17	76557795	76557835	chr17_48633	6	+	41	6	76557804
chr17	76558793	76558873	chr17_48639	22	+	81	20	76558845
chr17	76561112	76561208	chr17_48642	34	+	97	21	76561128
chr17	76561337	76561391	chr17_48643	8	+	55	8	76561371
chr17	76561635	76561702	chr17_48645	41	+	68	29	76561673
chr17	76727074	76727116	chr17_48703	4	+	43	4	76727078
chr17	77162054	77162085	chr17_60889	4	-	32	4	77162063
chr17	77958709	77958738	chr17_48950	4	+	30	4	77958712
chr17	79081061	79081073	chr17_61215	7	-	13	7	79081065
chr17	79081897	79081907	chr17_61216	7	-	11	7	79081897
chr17	79944998	79945040	chr17_61326	5	-	43	5	79945017
chr17	80104966	80105047	chr17_49308	6	+	82	5	80105024
chr17	80109951	80110010	chr17_49332	7	+	60	7	80109970
chr17	80110959	80110991	chr17_49340	5	+	33	5	80110966
chr17	81512733	81512808	chr17_61849	15	-	76	7	81512733
chr17	81847242	81847345	chr17_62076	10	-	104	5	81847305
chr17	81855452	81855560	chr17_62080	14	-	109	6	81855501
chr17	81859193	81859387	chr17_62087	17	-	195	7	81859276
chr17	81860326	81860505	chr17_62089	21	-	180	5	81860357
chr17	81868157	81868203	chr17_62098	6	-	47	6	81868180
chr17	81868502	81868582	chr17_62103	9	-	81	6	81868554
chr17	81868853	81868937	chr17_62109	7	-	85	5	81868876
chr17	81868970	81869056	chr17_62110	12	-	87	8	81869020
chr17	81869541	81869614	chr17_62115	9	-	74	6	81869588
chr17	81869785	81869855	chr17_62116	8	-	71	5	81869810
chr17	81889252	81889287	chr17_62149	5	-	36	5	81889270
chr17	82019857	82019909	chr17_62286	5	-	53	5	82019857
chr17	82024999	82025046	chr17_50238	6	+	48	5	82025014
chr17	82034032	82034095	chr17_50281	4	+	64	4	82034064
chr17	82048146	82048171	chr17_62319	5	-	26	5	82048150
chr17	82053291	82053366	chr17_50291	8	+	76	6	82053320
chr17	82064836	82064873	chr17_62369	5	-	38	5	82064854
chr17	82080187	82080238	chr17_62394	8	-	52	7	82080201
chr17	82080691	82080831	chr17_62400	22	-	141	11	82080786
chr17	82080833	82080874	chr17_62401	6	-	42	6	82080850
chr17	82081281	82081352	chr17_62406	16	-	72	11	82081308
chr17	82081692	82081843	chr17_62408	22	-	152	13	82081776
chr17	82082526	82082581	chr17_62414	8	-	56	6	82082555
chr17	82082913	82083027	chr17_62418	12	-	115	7	82082962
chr17	82084233	82084297	chr17_62434	12	-	65	8	82084262
chr17	82084823	82084953	chr17_62442	12	-	131	8	82084903
chr17	82085125	82085156	chr17_62445	7	-	32	6	82085146
chr17	82085237	82085316	chr17_62446	9	-	80	7	82085237
chr17	82085343	82085402	chr17_62447	10	-	60	7	82085356
chr17	82085462	82085540	chr17_62448	7	-	79	6	82085492
chr17	82086272	82086481	chr17_62453	25	-	210	10	82086327
chr17	82086490	82086558	chr17_62454	13	-	69	7	82086546
chr17	82087049	82087071	chr17_62456	7	-	23	7	82087049
chr17	82087087	82087120	chr17_62457	6	-	34	6	82087090
chr17	82088133	82088248	chr17_62469	8	-	116	6	82088224
chr17	82088552	82088578	chr17_62475	6	-	27	6	82088560
chr17	82088760	82088876	chr17_62476	16	-	117	7	82088849
chr17	82089057	82089107	chr17_62479	7	-	51	7	82089078
chr17	82090506	82090564	chr17_62495	6	-	59	6	82090545
chr17	82092515	82092589	chr17_62510	10	-	75	7	82092553
chr17	82092896	82092975	chr17_62515	10	-	80	8	82092943
chr17	82093619	82093771	chr17_62524	27	-	153	9	82093697
chr17	82095319	82095405	chr17_62532	11	-	87	8	82095371
chr17	82096318	82096430	chr17_62537	15	-	113	7	82096354
chr17	82418434	82418454	chr17_50345	4	+	21	4	82418437
chr17	82572408	82572441	chr17_50453	5	+	34	5	82572410
chr17	82907760	82907806	chr17_50680	6	+	47	5	82907771
chr17	83079777	83079806	chr17_62868	11	-	30	11	83079781
chr18	5544064	5544087	chr18_136937	10	-	24	10	5544068
chr18	8609672	8609697	chr18_133017	7	+	26	7	8609676
chr18	9136599	9136627	chr18_137071	4	-	29	4	9136607
chr18	11667801	11667822	chr18_133281	6	+	22	6	11667804
chr18	13481757	13481784	chr18_137242	4	-	28	4	13481760
chr18	21111436	21111509	chr18_137333	6	-	74	4	21111459
chr18	21612328	21612437	chr18_133664	9	+	110	4	21612377
chr18	32695462	32695483	chr18_138161	7	-	22	7	32695465
chr18	36126946	36126997	chr18_138404	4	-	52	4	36126975
chr18	46091681	46091807	chr18_139127	5	-	127	5	46091782
chr18	46098156	46098192	chr18_139135	4	-	37	4	46098173
chr18	49489245	49489308	chr18_139428	32	-	64	26	49489287
chr18	49491282	49491347	chr18_139432	52	-	66	31	49491320
chr18	49491660	49491729	chr18_139435	29	-	70	23	49491701
chr18	54817866	54817888	chr18_135664	5	+	23	5	54817868
chr18	55588047	55588099	chr18_139632	5	-	53	5	55588067
chr18	55953495	55953516	chr18_135732	4	+	22	4	55953496
chr18	59359030	59359104	chr18_139762	5	-	75	4	59359043
chr18	59900118	59900145	chr18_135943	4	+	28	4	59900121
chr18	61662280	61662305	chr18_139815	4	-	26	4	61662282
chr18	62523939	62523998	chr18_136004	4	+	60	4	62523971
chr18	73726186	73726208	chr18_140068	4	-	23	4	73726189
chr18	74596529	74596560	chr18_140101	4	-	32	4	74596540
chr19	572604	572701	chr19_109859	27	+	98	16	572656
chr19	580357	580461	chr19_109879	20	+	105	9	580378
chr19	580645	580782	chr19_109880	42	+	138	10	580686
chr19	583251	583453	chr19_109892	30	+	203	7	583309
chr19	797417	797505	chr19_109938	9	+	89	6	797487
chr19	811237	811323	chr19_110005	9	+	87	7	811287
chr19	812180	812285	chr19_110017	8	+	106	5	812232
chr19	908989	909028	chr19_122600	4	-	40	4	909000
chr19	1010290	1010389	chr19_122623	10	-	100	6	1010326
